player_id,games_played,goals,assists,minutes_played,yellow_cards,red_cards,goals_per_game,minutes_per_game
3333,20,1,1,778,2,0,0.05,38.9
7161,23,2,3,1009,3,0,0.087,43.9
12282,31,0,0,2610,1,0,0.0,84.2
15452,8,0,1,502,1,0,0.0,62.8
15799,28,0,1,924,2,0,0.0,33.0
16136,12,0,1,852,1,0,0.0,71.0
16306,34,9,2,2589,9,0,0.265,76.1
17259,22,0,0,1860,0,0,0.0,84.5
27807,2,0,0,180,0,0,0.0,90.0
27992,34,2,3,2816,4,0,0.059,82.8
28396,11,0,0,236,1,0,0.0,21.5
30321,7,0,1,139,1,0,0.0,19.9
33571,12,0,0,491,2,0,0.0,40.9
35047,32,1,2,2533,0,0,0.031,79.2
38253,31,14,3,1656,2,0,0.452,53.4
40433,28,4,2,1300,3,0,0.143,46.4
40680,1,0,0,90,1,0,0.0,90.0
42205,33,0,0,2961,0,0,0.0,89.7
44058,8,0,0,720,0,0,0.0,90.0
45672,22,0,0,1980,2,0,0.0,90.0
46413,37,17,0,2953,3,0,0.459,79.8
46580,34,14,6,2223,2,0,0.412,65.4
48015,17,0,0,1441,1,0,0.0,84.8
49723,1,0,0,10,0,0,0.0,10.0
51471,6,0,1,126,0,0,0.0,21.0
53418,3,0,0,3,0,0,0.0,1.0
54906,6,0,0,246,0,0,0.0,41.0
55089,34,0,0,3060,3,0,0.0,90.0
55099,13,0,0,284,0,0,0.0,21.8
55735,30,4,2,1556,5,0,0.133,51.9
57071,23,0,0,2009,1,0,0.0,87.3
57500,17,0,1,1218,4,0,0.0,71.6
58864,30,10,6,2047,1,0,0.333,68.2
58995,12,0,0,521,2,0,0.0,43.4
59016,11,0,0,421,1,0,0.0,38.3
59323,21,5,0,396,4,0,0.238,18.9
59377,37,0,0,3330,0,0,0.0,90.0
59561,32,1,0,1390,3,0,0.031,43.4
60543,1,0,0,90,0,0,0.0,90.0
60561,31,0,0,2789,4,0,0.0,90.0
61651,32,1,3,1921,6,0,0.031,60.0
61812,32,0,7,2709,5,0,0.0,84.7
61841,22,0,2,1080,3,0,0.0,49.1
62351,6,0,0,255,1,0,0.0,42.5
63200,7,0,0,41,1,0,0.0,5.9
64793,13,1,1,217,1,0,0.077,16.7
65278,29,5,2,972,4,0,0.172,33.5
67063,37,13,1,2266,5,0,0.351,61.2
67556,23,0,1,445,2,0,0.0,19.3
68390,5,0,0,20,0,0,0.0,4.0
69633,31,3,10,2424,4,0,0.097,78.2
70580,1,0,0,9,0,0,0.0,9.0
71271,1,0,0,90,0,0,0.0,90.0
72047,32,5,3,1130,3,0,0.156,35.3
72476,38,0,0,3420,3,0,0.0,90.0
73517,5,0,0,450,1,0,0.0,90.0
73794,28,3,1,1096,0,0,0.107,39.1
74229,34,2,2,2220,6,0,0.059,65.3
74294,34,2,0,2348,9,0,0.059,69.1
74683,34,1,1,2670,6,0,0.029,78.5
74842,21,0,0,879,1,0,0.0,41.9
74857,2,0,0,180,0,0,0.0,90.0
74869,16,0,1,655,2,0,0.0,40.9
74960,35,0,0,3150,1,0,0.0,90.0
75489,28,1,0,1056,0,0,0.036,37.7
75921,29,0,3,1869,8,0,0.0,64.4
76163,15,1,2,516,1,0,0.067,34.4
76467,28,1,1,2021,6,0,0.036,72.2
80197,16,2,0,1038,2,0,0.125,64.9
80293,29,1,0,2427,8,0,0.034,83.7
80894,19,0,0,1594,1,0,0.0,83.9
81173,11,0,0,930,1,0,0.0,84.5
81512,30,3,0,2256,5,0,0.1,75.2
82350,18,2,2,1041,4,0,0.111,57.8
82442,30,7,1,1610,2,0,0.233,53.7
82873,30,1,4,2252,2,0,0.033,75.1
84085,11,0,0,660,2,0,0.0,60.0
84301,27,2,2,2334,9,0,0.074,86.4
84993,33,0,0,2970,3,0,0.0,90.0
85177,10,0,1,597,1,0,0.0,59.7
85288,8,1,1,228,0,0,0.125,28.5
85295,14,0,0,578,2,0,0.0,41.3
85370,20,0,0,533,3,0,0.0,26.6
85528,4,0,0,360,0,0,0.0,90.0
85906,34,2,3,2698,3,0,0.059,79.4
85941,3,0,0,270,0,0,0.0,90.0
86202,18,1,0,1491,0,0,0.056,82.8
86784,23,0,1,1546,0,0,0.0,67.2
88755,18,5,2,1169,1,0,0.278,64.9
90317,21,0,0,1890,2,0,0.0,90.0
91970,19,1,0,491,3,0,0.053,25.8
93604,23,2,2,1594,3,0,0.087,69.3
93707,24,0,3,1549,3,0,0.0,64.5
93740,33,2,0,2950,4,0,0.061,89.4
93844,17,0,1,610,5,0,0.0,35.9
93936,37,8,1,1727,3,0,0.216,46.7
94005,19,0,0,1219,3,0,0.0,64.2
94308,37,0,0,3330,0,0,0.0,90.0
94529,20,1,3,657,4,0,0.05,32.8
95424,36,0,2,3097,9,0,0.0,86.0
95810,21,0,1,1592,3,0,0.0,75.8
96254,2,0,0,124,0,0,0.0,62.0
96341,5,1,0,40,1,0,0.2,8.0
96533,25,3,1,938,0,0,0.12,37.5
99353,10,0,0,473,2,0,0.0,47.3
99397,22,0,0,1980,1,0,0.0,90.0
99523,6,0,0,540,0,0,0.0,90.0
99922,25,1,0,1978,3,0,0.04,79.1
100986,25,2,2,1910,3,0,0.08,76.4
102423,37,3,0,3330,4,0,0.081,90.0
105470,26,0,0,2340,1,0,0.0,90.0
105521,18,2,2,902,3,0,0.111,50.1
106270,15,1,1,269,1,0,0.067,17.9
106405,11,0,1,851,3,0,0.0,77.4
106872,29,1,1,1324,3,0,0.034,45.7
106987,26,1,2,1823,3,0,0.038,70.1
107219,1,0,0,7,0,0,0.0,7.0
107574,4,0,0,144,0,0,0.0,36.0
107775,30,0,0,2641,2,0,0.0,88.0
108390,32,0,0,2880,1,0,0.0,90.0
108725,15,3,0,907,0,0,0.2,60.5
110036,9,0,0,382,0,0,0.0,42.4
110864,12,0,0,1080,0,0,0.0,90.0
110923,9,0,0,765,0,0,0.0,85.0
111195,24,1,0,1050,5,0,0.042,43.8
111196,11,0,0,671,1,0,0.0,61.0
111455,34,1,6,2901,8,0,0.029,85.3
111508,15,0,1,524,5,0,0.0,34.9
111811,25,0,0,861,0,0,0.0,34.4
111873,32,0,1,2835,2,0,0.0,88.6
112515,32,1,0,2770,5,0,0.031,86.6
112822,1,0,0,90,0,0,0.0,90.0
113707,11,2,0,569,1,0,0.182,51.7
116088,32,5,4,1591,3,0,0.156,49.7
117478,29,1,5,1913,4,0,0.034,66.0
117674,25,1,4,1854,5,0,0.04,74.2
118287,10,0,0,219,0,0,0.0,21.9
118534,33,3,1,2590,1,0,0.091,78.5
118689,32,3,3,1903,1,0,0.094,59.5
118847,29,2,0,2346,9,0,0.069,80.9
118997,2,0,0,135,0,0,0.0,67.5
119277,19,1,1,1071,1,0,0.053,56.4
119296,9,3,0,623,3,0,0.333,69.2
120205,17,6,3,917,2,0,0.353,53.9
120629,20,0,1,1800,0,0,0.0,90.0
121483,30,0,0,2700,0,0,0.0,90.0
121985,24,0,0,1676,8,0,0.0,69.8
122153,6,0,0,115,0,0,0.0,19.2
122840,30,0,0,2340,3,0,0.0,78.0
123275,24,2,0,765,3,0,0.083,31.9
123682,32,7,1,1242,1,0,0.219,38.8
124410,32,5,2,2835,7,0,0.156,88.6
124419,33,0,0,2970,1,0,0.0,90.0
124502,32,3,5,2836,3,0,0.094,88.6
124555,14,0,0,511,0,0,0.0,36.5
124884,7,0,0,585,1,0,0.0,83.6
125714,24,0,0,2130,1,0,0.0,88.8
125781,34,7,4,1468,0,0,0.206,43.2
126414,22,9,4,1651,7,0,0.409,75.0
126557,10,0,0,809,2,0,0.0,80.9
126664,31,0,6,1852,3,0,0.0,59.7
126665,25,2,3,2102,1,0,0.08,84.1
126729,14,0,0,661,2,0,0.0,47.2
126737,8,1,0,171,0,0,0.125,21.4
126751,34,1,2,2231,11,0,0.029,65.6
127048,18,3,1,562,1,0,0.167,31.2
127108,36,2,1,3231,7,0,0.056,89.8
127160,19,0,0,960,0,0,0.0,50.5
127188,8,0,0,720,0,0,0.0,90.0
127189,10,0,0,593,3,0,0.0,59.3
127202,31,0,0,2667,2,0,0.0,86.0
127573,29,1,5,2073,4,0,0.034,71.5
128223,26,0,2,924,2,0,0.0,35.5
128969,36,0,0,3240,4,0,0.0,90.0
129444,6,0,0,293,0,0,0.0,48.8
129674,37,1,4,3173,8,0,0.027,85.8
130164,38,0,0,3420,4,0,0.0,90.0
131075,18,0,0,1379,3,0,0.0,76.6
131225,20,0,3,1310,4,0,0.0,65.5
131978,21,3,1,852,1,0,0.143,40.6
131996,12,1,0,639,1,0,0.083,53.2
132098,31,36,5,2382,1,0,1.161,76.8
133179,34,1,2,2704,6,0,0.029,79.5
133731,34,2,2,3060,2,0,0.059,90.0
134270,29,1,3,2199,9,0,0.034,75.8
135343,16,0,0,1091,1,0,0.0,68.2
135747,1,0,0,3,0,0,0.0,3.0
136111,22,0,0,1848,2,0,0.0,84.0
136401,3,0,0,270,0,0,0.0,90.0
136514,10,0,1,627,3,0,0.0,62.7
138055,33,0,0,2880,7,0,0.0,87.3
138927,17,0,1,976,0,0,0.0,57.4
139208,38,6,0,3420,4,0,0.158,90.0
139304,23,1,0,1934,3,0,0.043,84.1
139435,2,0,0,67,0,0,0.0,33.5
142021,38,1,5,2689,3,0,0.026,70.8
142031,30,2,2,2245,5,0,0.067,74.8
143812,19,0,2,733,1,0,0.0,38.6
143891,2,0,0,27,0,0,0.0,13.5
144028,31,6,6,2008,2,0,0.194,64.8
144128,22,0,0,1980,1,0,0.0,90.0
146310,8,0,1,170,1,0,0.0,21.2
147051,31,0,0,2790,0,0,0.0,90.0
148153,33,1,0,2837,10,0,0.03,86.0
148252,29,1,2,2217,5,0,0.034,76.4
148367,7,0,0,101,0,0,0.0,14.4
148372,4,0,0,180,0,0,0.0,45.0
148455,27,7,7,2150,1,0,0.259,79.6
149525,35,2,0,3075,10,0,0.057,87.9
153084,31,5,4,1954,4,0,0.161,63.0
154147,30,2,1,2591,1,0,0.067,86.4
155025,4,0,0,298,0,0,0.0,74.5
156618,22,0,0,1692,1,0,0.0,76.9
156990,30,1,0,2549,9,0,0.033,85.0
157507,24,0,0,1117,3,0,0.0,46.5
157635,15,1,0,321,4,0,0.067,21.4
157672,34,1,9,3018,4,0,0.029,88.8
159088,32,2,0,2547,4,0,0.062,79.6
159471,21,8,6,1228,1,0,0.381,58.5
160241,8,0,0,58,0,0,0.0,7.2
160929,34,0,0,3060,2,0,0.0,90.0
160938,34,4,1,2323,3,0,0.118,68.3
160963,10,0,0,877,2,0,0.0,87.7
160986,27,0,2,2197,4,0,0.0,81.4
161011,18,3,1,468,1,0,0.167,26.0
161056,29,2,8,2282,4,0,0.069,78.7
161057,4,0,0,329,0,0,0.0,82.2
161869,32,3,4,2147,1,0,0.094,67.1
162434,14,0,0,701,4,0,0.0,50.1
162959,12,0,0,577,2,0,0.0,48.1
163048,29,0,0,2610,1,0,0.0,90.0
163639,9,0,1,481,1,0,0.0,53.4
164904,30,0,1,2655,1,0,0.0,88.5
164915,4,0,0,315,1,0,0.0,78.8
165007,30,1,2,1407,6,0,0.033,46.9
165467,20,0,0,1800,1,0,0.0,90.0
165513,34,0,0,2526,4,0,0.0,74.3
165793,15,3,2,950,4,0,0.2,63.3
165895,34,2,5,2214,4,0,0.059,65.1
166601,11,0,1,487,3,0,0.0,44.3
167491,16,0,0,919,0,0,0.0,57.4
167721,16,1,0,371,2,0,0.062,23.2
167727,8,2,0,219,0,0,0.25,27.4
167799,32,4,5,2715,4,0,0.125,84.8
168157,19,1,0,1333,2,0,0.053,70.2
168989,27,2,1,1819,5,0,0.074,67.4
169497,15,0,0,646,1,0,0.0,43.1
169511,6,0,0,98,0,0,0.0,16.3
169880,26,2,3,2278,1,0,0.077,87.6
170472,15,0,0,1148,1,0,0.0,76.5
170481,22,1,0,1507,9,0,0.045,68.5
170506,5,0,0,41,0,0,0.0,8.2
170527,3,0,0,13,0,0,0.0,4.3
170911,29,0,0,2463,1,0,0.0,84.9
170961,5,0,0,200,0,0,0.0,40.0
170986,18,5,3,782,0,0,0.278,43.4
171679,11,0,0,792,4,0,0.0,72.0
173504,37,2,3,3330,8,0,0.054,90.0
173750,8,1,1,66,0,0,0.125,8.2
173859,35,3,4,2581,3,0,0.086,73.7
174094,31,0,2,1773,4,0,0.0,57.2
174196,32,0,3,2792,4,0,0.0,87.2
175446,34,0,0,2998,7,0,0.0,88.2
175449,26,0,2,1197,3,0,0.0,46.0
175639,30,1,7,2531,0,0,0.033,84.4
175722,9,1,0,687,0,0,0.111,76.3
176553,25,0,2,2060,4,0,0.0,82.4
177452,15,0,0,131,0,0,0.0,8.7
177467,22,10,0,1350,0,0,0.455,61.4
177476,18,0,0,688,1,0,0.0,38.2
177779,28,0,1,1652,8,0,0.0,59.0
177843,26,8,5,1971,2,0,0.308,75.8
177847,12,0,0,315,1,0,0.0,26.2
177907,23,1,2,1655,3,0,0.043,72.0
179184,6,1,0,134,0,0,0.167,22.3
181136,34,6,3,2045,3,0,0.176,60.1
181380,7,0,0,356,2,0,0.0,50.9
181382,11,2,0,741,2,0,0.182,67.4
181579,18,0,1,1097,1,0,0.0,60.9
181767,14,0,0,1049,0,0,0.0,74.9
181768,4,0,0,69,0,0,0.0,17.2
181778,28,0,3,2113,3,0,0.0,75.5
182201,27,2,1,1545,4,0,0.074,57.2
182712,16,2,3,953,1,0,0.125,59.6
182893,12,1,0,654,0,0,0.083,54.5
182894,31,1,1,2489,2,0,0.032,80.3
182904,19,0,1,1393,4,0,0.0,73.3
182906,37,0,0,3296,4,0,0.0,89.1
182913,30,6,5,2640,5,0,0.2,88.0
182916,29,12,2,2013,2,0,0.414,69.4
183288,38,1,1,3233,9,0,0.026,85.1
183318,2,0,0,19,0,0,0.0,9.5
184528,1,0,0,45,0,0,0.0,45.0
184573,17,0,1,944,0,0,0.0,55.5
184892,33,11,6,2462,6,0,0.333,74.6
185077,33,7,5,1715,0,0,0.212,52.0
186233,10,2,0,495,1,0,0.2,49.5
186368,31,0,2,2260,4,0,0.0,72.9
186590,9,0,0,439,0,0,0.0,48.8
187097,20,6,0,1147,2,0,0.3,57.4
187492,29,7,4,1608,0,0,0.241,55.4
187718,32,0,0,2836,5,0,0.0,88.6
188077,26,2,0,986,3,0,0.077,37.9
188888,23,3,3,1104,2,0,0.13,48.0
190280,3,0,0,181,0,0,0.0,60.3
190284,34,3,1,3060,4,0,0.088,90.0
190393,30,11,4,2307,5,0,0.367,76.9
190685,12,0,0,897,1,0,0.0,74.8
191056,32,0,0,2880,5,0,0.0,90.0
191217,27,2,3,1821,2,0,0.074,67.4
191422,15,2,3,716,0,0,0.133,47.7
191891,2,0,0,34,0,0,0.0,17.0
192009,28,0,4,1619,6,0,0.0,57.8
192080,27,0,0,2417,2,0,0.0,89.5
192169,27,1,1,2327,3,0,0.037,86.2
192279,1,0,0,90,0,0,0.0,90.0
192492,34,0,2,3060,2,0,0.0,90.0
192557,24,0,1,1625,0,0,0.0,67.7
192616,17,1,2,1155,4,0,0.059,67.9
192635,33,0,3,2967,5,0,0.0,89.9
192735,32,1,1,2438,3,0,0.031,76.2
192765,3,1,0,138,1,0,0.333,46.0
193004,32,2,0,2880,3,0,0.062,90.0
193033,3,0,0,6,0,0,0.0,2.0
193082,29,8,8,2524,5,0,0.276,87.0
