,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25-172,2000,21.9,,,,,,,,,,,,,,,,,,,,,Matches
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19-334,2006,1.3,,,,,,,,,,,,,,,,,,,,,Matches
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20-090,2006,7.1,,,,,,,,,,,,,,,,,,,,,Matches
4,Himad Abdelli,dz ALG,"FW,MF",Marseille,fr Ligue 1,26-146,1999,0.8,,,,,,,,,,,,,,,,,,,,,Matches
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-146,1999,10.5,,,,,,,,,,,,,,,,,,,,,Matches
6,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32-113,1993,10.6,,,,,,,,,,,,,,,,,,,,,Matches
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26-017,2000,7.4,,,,,,,,,,,,,,,,,,,,,Matches
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26-268,1999,12.2,,,,,,,,,,,,,,,,,,,,,Matches
9,Tay Abed,il ISR,MF,Levante,es La Liga,22-035,2004,0.4,,,,,,,,,,,,,,,,,,,,,Matches
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33-070,1993,22,,,,,,,,,,,,,,,,,,,,,Matches
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23-015,2003,23.8,,,,,,,,,,,,,,,,,,,,,Matches
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25-320,2000,17.9,,,,,,,,,,,,,,,,,,,,,Matches
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26-053,2000,5.7,,,,,,,,,,,,,,,,,,,,,Matches
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27-033,1999,11.1,,,,,,,,,,,,,,,,,,,,,Matches
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28-192,1997,2.2,,,,,,,,,,,,,,,,,,,,,Matches
16,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-350,2001,5.8,,,,,,,,,,,,,,,,,,,,,Matches
17,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23-063,2003,6.1,,,,,,,,,,,,,,,,,,,,,Matches
18,Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,21-119,2004,0.1,,,,,,,,,,,,,,,,,,,,,Matches
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38-061,1988,12.3,,,,,,,,,,,,,,,,,,,,,Matches
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-258,1998,17.7,,,,,,,,,,,,,,,,,,,,,Matches
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-342,2006,6.4,,,,,,,,,,,,,,,,,,,,,Matches
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26-073,2000,19.5,,,,,,,,,,,,,,,,,,,,,Matches
23,Che Adams,sct SCO,FW,Torino,it Serie A,29-273,1996,18.6,,,,,,,,,,,,,,,,,,,,,Matches
24,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,27-057,1999,15.9,,,,,,,,,,,,,,,,,,,,,Matches
