rk,player,nation,pos,squad,comp,age,born,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,gls_1,ast_1,g+a_1,g-pk_1,g+a-pk,matches,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,cmp,att,cmp%,totdist,prgdist,cmp_1,att_1,cmp%_1,cmp_2,att_2,cmp%_2,cmp_3,att_3,cmp%_3,a-xag,kp,1/3,ppa,crspa,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,succ,succ%,tkld,tkld%,carries,cpa,mis,dis,rec,minutes
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25,2000.0,30.0,24.0,"1,975",21.9,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,0.18,0.14,0.32,0.18,0.32,Matches,41.0,15.0,36.6,1.87,0.68,0.1,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26,1999.0,13.0,11.0,943,10.5,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.19,0.0,0.19,0.0,0.0,Matches,11.0,5.0,45.5,1.05,0.48,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.0
6,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32,1993.0,17.0,11.0,955,10.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.09,0.0,0.09,0.09,0.09,Matches,5.0,1.0,20.0,0.47,0.09,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.0
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26,1999.0,21.0,11.0,"1,098",12.2,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.08,0.25,0.33,0.08,0.33,Matches,6.0,2.0,33.3,0.49,0.16,0.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098.0
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33,1993.0,23.0,23.0,"1,982",22.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,20.0,5.0,25.0,0.91,0.23,0.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23,2003.0,26.0,22.0,"2,064",22.9,5.0,3.0,8.0,5.0,0.0,1.0,5.0,0.0,0.22,0.13,0.35,0.22,0.35,Matches,67.0,18.0,26.9,2.81,0.76,0.07,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.0
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25,2000.0,20.0,19.0,"1,611",17.9,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.17,0.0,0.17,0.17,0.17,Matches,14.0,5.0,35.7,0.78,0.28,0.21,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.0
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27,1999.0,16.0,12.0,"1,003",11.1,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.18,0.18,0.0,0.18,Matches,7.0,1.0,14.3,0.63,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.0
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38,1988.0,15.0,12.0,"1,108",12.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,3.0,1.0,33.3,0.24,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.0
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27,1998.0,27.0,16.0,"1,593",17.7,6.0,4.0,10.0,6.0,0.0,0.0,2.0,0.0,0.34,0.23,0.56,0.34,0.56,Matches,47.0,19.0,40.4,2.66,1.07,0.13,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.0
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26,2000.0,25.0,17.0,"1,663",18.5,7.0,3.0,10.0,5.0,2.0,2.0,1.0,0.0,0.38,0.16,0.54,0.27,0.43,Matches,54.0,27.0,50.0,2.77,1.39,0.09,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663.0
